,gene,avg_astro,avg_MG,log(astro/MG),|log(astro/MG)|,chrom,start,end
78,AHSA1,8.301249,8.764636666666666,-0.054319079357344646,0.054319079357344646,14,77924213.0,77935817.0
79,AIFM1,6.8432569999999995,3.1251700000000002,0.7837751061835998,0.7837751061835998,X,129263337.0,129299861.0
80,AIFM3,5.4755896,0.10000000000000002,4.00288505239623,4.00288505239623,22,21319396.0,21335649.0
81,AIMP1,6.266210000000001,5.19765,0.18696510580960207,0.18696510580960207,4,107236701.0,107270383.0
82,AK2,7.868705,6.484166666666667,0.19353019212886538,0.19353019212886538,1,33473585.0,33546597.0
83,AK3,11.374492,1.4031533333333333,2.0926512197329616,2.0926512197329616,9,4711155.0,4742043.0
84,AK4,37.05271,0.23220966666666665,5.072456073273453,5.072456073273453,1,65613232.0,65697828.0
85,AKAP11,13.444031,9.249203333333334,0.3739977940324116,0.3739977940324116,13,42846289.0,42897396.0
86,AKAP7,3.7186539999999995,0.8843953333333333,1.4362128815123711,1.4362128815123711,6,131456806.0,131604675.0
87,AKAP8,2.157528,3.8282500000000006,-0.57344465783817,0.57344465783817,19,15464341.0,15490603.0
88,AKAP9,6.440969,4.95461,0.26236053832701656,0.26236053832701656,7,91570181.0,91739987.0
89,AKIRIN1,8.584287,15.093033333333333,-0.5642998296383436,0.5642998296383436,1,39456895.0,39471731.0
90,AKIRIN2,4.527564,17.004666666666665,-1.3233037696771395,1.3233037696771395,6,88384790.0,88411927.0
91,AKR1B10,0.09999999999999999,0.10000000000000002,-2.2204460492503136e-16,2.2204460492503136e-16,7,134212344.0,134226160.0
92,AKT2,2.142071,0.43878966666666663,1.5855082179997666,1.5855082179997666,19,40736224.0,40791302.0
93,AKT3,21.42193,8.698566666666666,0.9012569025385935,0.9012569025385935,1,243651535.0,244014381.0
94,AKTIP,8.058378999999999,0.6909466666666667,2.456405060686602,2.456405060686602,16,53524952.0,53537170.0
95,ALCAM,26.006009999999996,7.235456666666667,1.2793341879671987,1.2793341879671987,3,105085753.0,105295744.0
96,ALDH1A1,28.932445,1.9084333333333332,2.7186809686158835,2.7186809686158835,9,75515578.0,75695358.0
97,ALDH1L1,11.698883,0.10000000000000002,4.7620784601547275,4.7620784601547275,3,125822412.0,125916837.0
98,ALDH2,151.80311,27.174766666666667,1.7202955055879983,1.7202955055879983,12,112204691.0,112247782.0
99,ALDH3A2,9.817433000000001,3.68333,0.9803424485808723,0.9803424485808723,17,19551459.0,19580909.0
100,ALDH5A1,7.282219,0.5979920000000001,2.4996135265038872,2.4996135265038872,6,24495080.0,24537435.0
101,ALDH6A1,30.523650000000004,2.56071,2.478217229185739,2.478217229185739,14,74523553.0,74551196.0
102,ALDH7A1,17.816758999999998,1.2290683333333334,2.6738831014053286,2.6738831014053286,5,125877533.0,125931110.0
103,ALDH9A1,37.67895,9.9048,1.3360820949535084,1.3360820949535084,1,165631453.0,165668100.0
104,ALDOA,28.939404000000003,7.340426666666666,1.3718071567475076,1.3718071567475076,16,30064444.0,30081741.0
105,ALDOC,387.14459999999997,2.693087333333333,4.968110023593532,4.968110023593532,17,26900133.0,26903952.0
106,ALG11,1.6886605000000003,2.8566300000000004,-0.5257069972782075,0.5257069972782075,13,52586534.0,52603800.0
107,ALG2,5.36089,5.0469566666666665,0.06034458471231152,0.06034458471231152,9,101978708.0,101984238.0
108,ALG3,1.8164389,0.6579076666666667,1.015568617717984,1.015568617717984,3,183960089.0,183967336.0
109,ALG5,6.114499,5.778919999999999,0.05644602208725307,0.05644602208725307,13,37523912.0,37574398.0
110,ALKBH3,2.49336,2.0322866666666664,0.2044696025668274,0.2044696025668274,11,43902361.0,43941816.0
111,ALKBH7,0.3721304,0.1727316666666667,0.7675049998544952,0.7675049998544952,19,6372444.0,6375261.0
112,ALPL,0.24092680000000005,0.10000000000000002,0.8793229669260821,0.8793229669260821,1,21835858.0,21904905.0
113,AMFR,7.192801999999999,2.42756,1.086194166079515,1.086194166079515,16,56395364.0,56459448.0
114,AMN1,8.222036,1.2341666666666666,1.8964218884711102,1.8964218884711102,12,31824071.0,31882108.0
115,AMOT,17.788045000000004,2.5278933333333335,1.9511403211390297,1.9511403211390297,X,112017731.0,112084043.0
116,ANAPC13,8.120027000000002,1.13026,1.9718857845376851,1.9718857845376851,3,134196548.0,134205558.0
117,ANAPC16,3.3598950000000003,2.83756,0.16896519552841135,0.16896519552841135,10,73975787.0,73995472.0
118,ANAPC5,4.817779,4.72903,0.018592926007653214,0.018592926007653214,12,121746048.0,121837699.0
119,ANGEL2,2.4893159999999996,2.4729466666666666,0.006597551886906677,0.006597551886906677,1,213165524.0,213189168.0
120,ANK2,35.23546,0.5936553333333333,4.083509336836023,4.083509336836023,4,113739265.0,114309884.0
121,ANKHD1,8.67226,11.779200000000001,-0.3062058384048969,0.3062058384048969,5,139781399.0,139929163.0
122,ANKLE2,3.6016009999999996,5.502376666666667,-0.4238016512883953,0.4238016512883953,12,133302254.0,133338474.0
123,ANKMY2,6.1365430000000005,1.82086,1.2149526373272843,1.2149526373272843,7,16639401.0,16685442.0
124,ANKRD11,2.7264740000000005,4.88279,-0.5827075785028664,0.5827075785028664,16,89334035.0,89556969.0
125,ANKRD13C,1.7584708,1.105507,0.46414051446110455,0.46414051446110455,1,70726271.0,70820417.0
126,ANKRD17,11.002079,11.426433333333334,-0.037845129842844605,0.037845129842844605,4,73939093.0,74124515.0
127,ANKRD28,1.4254086999999998,0.5439120000000001,0.9634263895342852,0.9634263895342852,3,15708743.0,15901278.0
128,ANKRD40,18.573980000000002,6.816723333333333,1.0023827698346681,1.0023827698346681,17,48770553.0,48785285.0
129,ANKRD46,4.818558,1.4970166666666664,1.169000474424336,1.169000474424336,8,101521980.0,101572012.0
130,ANKRD6,0.9028630000000002,0.3658266666666667,0.903411192525772,0.903411192525772,6,90142889.0,90343553.0
131,ANP32A,10.403304,14.256666666666666,-0.31510118556920386,0.31510118556920386,15,69039580.0,69113236.0
132,ANP32B,10.817540000000001,11.993143333333334,-0.10316620677216323,0.10316620677216323,9,100745638.0,100778225.0
133,ANP32E,15.254079999999998,5.059766666666666,1.1035266393251804,1.1035266393251804,1,150190717.0,150208504.0
134,ANTXR1,11.044614000000001,2.458764,1.5022841036660435,1.5022841036660435,2,69240310.0,69476459.0
135,ANXA5,36.372249999999994,100.06916666666666,-1.0120554923044522,1.0120554923044522,4,122589110.0,122618268.0
136,ANXA6,3.2188790000000003,0.30587800000000004,2.353602111636047,2.353602111636047,5,150480273.0,150537443.0
137,AP1G1,9.762089,12.383366666666667,-0.2378477598744553,0.2378477598744553,16,71762903.0,71842979.0
138,AP2B1,21.05813,9.270946666666665,0.8204012129385595,0.8204012129385595,17,33914282.0,34053434.0
139,AP3B1,7.310669,9.96301,-0.30954444673397646,0.30954444673397646,5,77296349.0,77590579.0
140,AP3D1,2.9442981999999995,1.0486469999999999,1.0323697246791175,1.0323697246791175,19,2100993.0,2151556.0
141,AP3M1,8.212258000000002,6.6241466666666655,0.21490635755630713,0.21490635755630713,10,75881524.0,75910821.0
142,AP3S1,3.690097,2.4167099999999997,0.4232456338976072,0.4232456338976072,5,115177178.0,115249778.0
143,AP4S1,0.4654319000000001,0.43836,0.059925301112677944,0.059925301112677944,14,31494312.0,31562818.0
144,APBA2,1.4827055999999998,0.2497383333333333,1.7812101028528409,1.7812101028528409,15,29129629.0,29410518.0
145,APC,71.35489,4.241573333333333,2.822731607366217,2.822731607366217,5,112043195.0,112181936.0
146,API5,6.307758,9.136703333333333,-0.37051933038979407,0.37051933038979407,11,43333513.0,43366079.0
147,APIP,2.804817,2.91135,-0.03727859492802371,0.03727859492802371,11,34874641.0,34938046.0
148,APLN,2.268758,0.10000000000000002,3.1218176381896514,3.1218176381896514,X,128779240.0,128788933.0
149,APLP1,1.6882537999999996,0.42408666666666667,1.3815121824435583,1.3815121824435583,19,36359138.0,36370699.0
150,APLP2,48.599470000000004,49.1732,-0.011736134142561506,0.011736134142561506,11,129939732.0,130014699.0
151,APOA1BP,6.000736,1.487328,1.3949009068719274,1.3949009068719274,1,156561542.0,156564091.0
152,APOE,3.0498598,0.4551123333333333,1.9023066264054247,1.9023066264054247,19,45408956.0,45412650.0
153,APPBP2,7.3735100000000005,2.366733333333333,1.136383183919476,1.136383183919476,17,58520520.0,58603580.0
154,APPL2,26.365000000000002,25.85643333333333,0.019477931295738143,0.019477931295738143,12,105567074.0,105630016.0
155,AQP4,477.7438,1.139743,6.03827180714267,6.03827180714267,18,24432002.0,24445749.0
156,ARAF,2.1494598,1.4588046666666667,0.3875991758319886,0.3875991758319886,X,47420516.0,47431307.0
157,ARAP2,11.148095,1.8636100000000002,1.7887531643868537,1.7887531643868537,4,36067620.0,36246131.0
158,ARCN1,19.28772,25.125133333333334,-0.2644000491890044,0.2644000491890044,11,118443105.0,118473730.0
159,ARF1,13.759818000000001,14.994840000000002,-0.08595353624710007,0.08595353624710007,1,228270361.0,228286912.0
160,ARF3,16.313247,6.2860933333333335,0.9536376910627922,0.9536376910627922,12,49297286.0,49351334.0
161,ARF4,18.691603999999998,32.85426666666667,-0.5640071807246337,0.5640071807246337,3,57557090.0,57583947.0
162,ARFGEF1,4.445606,5.5800633333333325,-0.2272839337567903,0.2272839337567903,8,68085747.0,68255912.0
163,ARFIP1,3.217243,2.5297899999999998,0.2403884862761961,0.2403884862761961,4,153701089.0,153839615.0
164,ARGLU1,14.411215000000002,12.013503333333333,0.181975427988611,0.181975427988611,13,107194021.0,107220512.0
165,ARHGAP12,6.041791,15.056466666666667,-0.913107086586424,0.913107086586424,10,32094365.0,32217742.0
166,ARHGAP21,27.276869999999995,30.036199999999997,-0.09636423056953021,0.09636423056953021,10,24872538.0,25012597.0
167,ARHGAP32,10.552368,2.4089799999999997,1.4771468683139415,1.4771468683139415,11,128834989.0,129149219.0
168,ARHGAP5,51.27325999999999,5.1056,2.3068313921747916,2.3068313921747916,14,32545320.0,32628934.0
169,ARHGDIA,1.0726983,1.078586,-0.005473674214199614,0.005473674214199614,17,79825598.0,79829282.0
170,ARHGEF12,29.821639999999995,4.689933333333333,1.8498159367547993,1.8498159367547993,11,120207787.0,120360645.0
171,ARHGEF26,16.285819999999998,0.20160833333333336,4.39172319820658,4.39172319820658,3,153838792.0,153975616.0
172,ARHGEF4,2.0018009,0.10000000000000002,2.99663231839209,2.99663231839209,2,131594489.0,131804836.0
173,ARHGEF9,13.517100000000003,2.381866666666667,1.7360710565700255,1.7360710565700255,X,62854847.0,63005426.0
174,ARID1A,4.454121,3.4908099999999997,0.2436959340822278,0.2436959340822278,1,27022524.0,27108595.0
175,ARID4B,3.733256,6.2260800000000005,-0.5114661461456546,0.5114661461456546,1,235294949.0,235491534.0
176,ARIH1,8.412730999999999,15.657266666666667,-0.6211889792378783,0.6211889792378783,15,72766667.0,72879692.0
177,ARL2,0.7508505,0.45579200000000003,0.4991699989381816,0.4991699989381816,11,64781585.0,64789656.0
178,ARL2BP,10.891717,6.75461,0.4777773573672527,0.4777773573672527,16,57279010.0,57287547.0
179,ARL3,7.622157000000001,0.8204856666666668,2.228918238135228,2.228918238135228,10,104436315.0,104474164.0
180,ARL5A,4.102785,12.813433333333334,-1.1388280883693178,1.1388280883693178,2,152645498.0,152685009.0
181,ARL6IP1,80.20069,48.530833333333334,0.5023327835480024,0.5023327835480024,16,18802991.0,18812917.0
182,ARL6IP4,1.3420576999999998,0.7112613333333333,0.6349193924350023,0.6349193924350023,12,123464333.0,123467456.0
183,ARL8A,2.4240860000000004,0.7227983333333333,1.2100795722399258,1.2100795722399258,1,202102532.0,202113869.0
184,ARL8B,14.000691999999997,11.367400000000002,0.20835714729581759,0.20835714729581759,3,5163905.0,5222596.0
185,ARMC1,3.6810239999999994,2.0660066666666665,0.5775733768034186,0.5775733768034186,8,66514694.0,66546442.0
186,ARMC8,5.322584,8.509413333333335,-0.46921410198692787,0.46921410198692787,3,137906109.0,138017231.0
187,ARMCX3,8.404881,12.610766666666668,-0.4057383379157004,0.4057383379157004,X,100878118.0,100882833.0
188,ARNT2,15.543147000000001,0.287598,3.989811441352045,3.989811441352045,15,80696692.0,80890278.0
189,ARPC1A,5.082782,3.2964533333333335,0.4330116064443342,0.4330116064443342,7,98923521.0,98985787.0
190,ARPC2,33.321149999999996,125.25133333333333,-1.3241300547756512,1.3241300547756512,2,219081817.0,219119079.0
191,ARPC5,4.3750990000000005,21.679999999999996,-1.600461028446461,1.600461028446461,1,183592401.0,183604892.0
192,ARPC5L,3.4908569999999997,5.62339,-0.47678742008988534,0.47678742008988534,9,127624409.0,127640003.0
193,ARPP21,0.5374835,0.21481366666666668,0.9171270761679041,0.9171270761679041,3,35680437.0,35835988.0
194,ARRB1,11.802455999999998,2.8770933333333333,1.4115271201641006,1.4115271201641006,11,74975226.0,75062873.0
195,ARSB,2.508043,2.471026666666667,0.01486904895887102,0.01486904895887102,5,78073032.0,78281910.0
196,AS3MT,1.6482194,0.19385066666666664,2.140362729479996,2.140362729479996,10,104629273.0,104661656.0
197,ASAH1,20.20473,45.59896666666666,-0.813968320032669,0.813968320032669,8,17913934.0,17942494.0
198,ASAP2,7.074911,0.10000000000000002,4.259139956938924,4.259139956938924,2,9346894.0,9545812.0
199,ASB8,9.992961000000001,1.8617466666666669,1.68036582996326,1.68036582996326,12,48541571.0,48574996.0
200,ASF1A,16.93343,3.6918100000000003,1.5231729218669752,1.5231729218669752,6,119215384.0,119230332.0
201,ASH1L,11.805480999999997,10.339786666666667,0.13256467813722286,0.13256467813722286,1,155305059.0,155532598.0
202,ASNA1,2.8454425,1.0423966666666666,1.0041960424373393,1.0041960424373393,19,12848306.0,12859137.0
203,ASPH,86.4728,5.565506666666667,2.743241887814477,2.743241887814477,8,62413115.0,62627199.0
204,ASRGL1,20.060740000000003,0.2896526666666667,4.237837446153674,4.237837446153674,11,62104920.0,62160882.0
205,ASTN1,25.46733,1.0984726666666667,3.143475724168023,3.143475724168023,1,176826438.0,177134109.0
206,ATAD1,9.512809999999998,3.7892833333333336,0.9204624042493937,0.9204624042493937,10,89511269.0,89601100.0
207,ATAT1,0.8600821999999999,0.11288500000000001,2.0306583646853555,2.0306583646853555,6,30594619.0,30614600.0
208,ATE1,2.984153,1.9353466666666668,0.4330294881501911,0.4330294881501911,10,123499939.0,123688316.0
209,ATF1,0.9959508999999999,3.693093333333333,-1.3105217283915915,1.3105217283915915,12,51157493.0,51214905.0
210,ATF2,15.20007,8.509020000000001,0.5801732557876642,0.5801732557876642,2,175936978.0,176033110.0
211,ATF4,26.795650000000002,101.18066666666668,-1.3286681368497997,1.3286681368497997,22,39915700.0,39918691.0
212,ATF7IP,11.155746000000002,10.338406666666666,0.07608893841509226,0.07608893841509226,12,14518610.0,14651697.0
213,ATG3,25.29627,20.188100000000002,0.22556363213100838,0.22556363213100838,3,112251356.0,112280893.0
214,ATL2,11.75518,8.567336666666668,0.31633708421617335,0.31633708421617335,2,38522022.0,38604427.0
215,ATL3,3.447652,4.766823333333333,-0.3239866955568866,0.3239866955568866,11,63391559.0,63439393.0
216,ATOX1,16.445248000000003,6.335819999999999,0.9538173150812425,0.9538173150812425,5,151121877.0,151152093.0
217,ATP11B,1.1799339999999998,5.2737066666666665,-1.4972749629157045,1.4972749629157045,3,182511288.0,182639423.0
218,ATP13A4,30.19801,0.13715566666666668,5.394414773329539,5.394414773329539,3,193119866.0,193310900.0
219,ATP1A2,288.2055,0.46428,6.430941227834506,6.430941227834506,1,160085549.0,160113381.0
220,ATP1B1,1.2030146,19.048533333333335,-2.7621595349878465,2.7621595349878465,1,169074935.0,169101960.0
221,ATP1B2,506.0948,0.52836,6.864701412944443,6.864701412944443,17,7554254.0,7561087.0
222,ATP1B3,10.359224000000001,125.5055,-2.4944722517617315,2.4944722517617315,3,141594966.0,141645356.0
223,ATP2A2,28.019009999999998,21.584833333333332,0.2608923008127363,0.2608923008127363,12,110718561.0,110788898.0
224,ATP2B2,3.5978920000000003,0.140914,3.2399536221662926,3.2399536221662926,3,10365707.0,10749716.0
225,ATP2C1,21.959659999999996,20.58696666666667,0.0645489443445682,0.0645489443445682,3,130569439.0,130735556.0
226,ATP5A1,86.75634,30.692266666666665,1.0390927769775689,1.0390927769775689,18,43664110.0,43684300.0
227,ATP5B,141.04088,82.79903333333334,0.5326333908300015,0.5326333908300015,12,57031959.0,57039798.0
228,ATP5C1,49.48056,26.244533333333337,0.6341221517828551,0.6341221517828551,10,7830092.0,7849778.0
229,ATP5D,0.6319885000000001,0.22234466666666663,1.0446424673176717,1.0446424673176717,19,1241749.0,1244823.0
230,ATP5E,66.20469,61.613566666666664,0.07186922196909577,0.07186922196909577,20,57600522.0,57607437.0
231,ATP5F1,30.033529999999995,18.40823333333333,0.48951639590343354,0.48951639590343354,1,111991486.0,112005395.0
232,ATP5G1,13.941951999999997,5.70872,0.8929075938112854,0.8929075938112854,17,46970127.0,46973233.0
233,ATP5G2,5.237844,5.693603333333333,-0.08343335917308728,0.08343335917308728,12,54026510.0,54071192.0
234,ATP5G3,19.70014,11.012303333333335,0.5816126097089781,0.5816126097089781,2,176040986.0,176049335.0
235,ATP5H,31.862359999999995,18.33949,0.5523687174407531,0.5523687174407531,17,73032145.0,73043074.0
236,ATP5J,74.47186,25.3156,1.079000529407423,1.079000529407423,21,27088815.0,27107984.0
237,ATP5J2,53.80072,22.840163333333333,0.8567663140188461,0.8567663140188461,7,99046098.0,99063954.0
238,ATP5L,19.614741000000002,17.783243333333335,0.09802474724548259,0.09802474724548259,11,118271869.0,118302211.0
239,ATP5O,41.761990000000004,23.384066666666666,0.5799317169386091,0.5799317169386091,21,35275757.0,35288284.0
240,ATP6AP1,6.937953,7.856126666666667,-0.12428692024147313,0.12428692024147313,X,153656978.0,153664862.0
241,ATP6AP2,17.789830000000002,13.346933333333334,0.2873403001024955,0.2873403001024955,X,40440146.0,40465889.0
242,ATP6V0A1,16.14939,14.504933333333332,0.10739345661097115,0.10739345661097115,17,40610862.0,40674596.0
243,ATP6V0B,3.622605,8.602936666666666,-0.864910237539213,0.864910237539213,1,44440159.0,44443967.0
244,ATP6V0D1,7.896328999999999,8.224507666666668,-0.0407204687740209,0.0407204687740209,16,67471922.0,67515140.0
245,ATP6V0E2,4.070558,0.2879526666666667,2.6487392549994455,2.6487392549994455,7,149570057.0,149577787.0
246,ATP6V1A,9.604274,4.09532,0.8523633494012116,0.8523633494012116,3,113465664.0,113530903.0
247,ATP6V1B2,10.394192999999998,103.73613333333333,-2.300603210741051,2.300603210741051,8,20054878.0,20084330.0
248,ATP6V1C1,5.771008,6.3720566666666665,-0.09907552311270262,0.09907552311270262,8,104033291.0,104085279.0
249,ATP6V1D,16.6125,5.337013333333334,1.1354892284082456,1.1354892284082456,14,67761088.0,67826982.0
250,ATP6V1E1,18.10015,14.027573333333331,0.2548953090746398,0.2548953090746398,22,18074902.0,18111584.0
251,ATP6V1F,9.538199000000002,20.255796666666665,-0.75313632416224,0.75313632416224,7,128502880.0,128505898.0
252,ATP6V1G1,7.671155000000001,9.168193333333333,-0.1782730568482469,0.1782730568482469,9,117350026.0,117360653.0
253,ATP6V1G2,2.3405761999999997,0.10000000000000002,3.1529822313679703,3.1529822313679703,6,31512239.0,31516204.0
254,ATP6V1H,14.01761,4.409199999999999,1.1566211292115671,1.1566211292115671,8,54628117.0,54756118.0
